"vel_m_s","num_spp","substrata"
0.036340852,18,"organic"
0.04887218,21,"organic"
0.049498747,17,"organic"
0.052005013,13,"organic"
0.056390977,18,"organic"
0.058897243,15,"organic"
0.069548872,14,"organic"
0.070802005,15,"organic"
0.071428571,24,"organic"
0.076441103,16,"organic"
0.078947368,18,"organic"
0.088345865,17,"organic"
0.088345865,22,"organic"
0.088972431,19,"organic"
0.090225564,16,"organic"
0.098370927,13,"organic"
0.098997494,12,"organic"
0.098997494,15,"organic"
0.100877193,17,"organic"
0.102130326,10,"organic"
0.102756892,20,"organic"
0.109022556,10,"organic"
0.110275689,14,"organic"
0.110902256,21,"organic"
0.119047619,23,"organic"
0.121553885,24,"organic"
0.126566416,20,"organic"
0.129699248,15,"organic"
0.132205514,22,"organic"
0.149749373,16,"organic"
0.152255639,19,"organic"
0.191729323,20,"organic"
0.198621554,25,"organic"
0.229323308,26,"organic"
0.262531328,22,"organic"
0.280075188,23,"organic"
0.288220551,19,"organic"
0.298245614,18,"organic"
0.30075188,15,"inorganic"
0.328320802,18,"organic"
0.401002506,30,"inorganic"
0.486215539,17,"inorganic"
0.486842105,17,"inorganic"
0.721177945,15,"inorganic"
0.852130326,23,"inorganic"
1.043233083,7,"inorganic"
1.055137845,13,"inorganic"
1.145989975,11,"inorganic"
1.234962406,10,"inorganic"
