"somc_perc","n_sp"
1.002162719,0
1.171161048,1
1.185735765,0
1.227517123,2
1.23360488,0
1.255150774,3
1.289771446,0
1.318806556,7
1.322072761,1
1.322072761,2
1.322072761,4
1.325347055,3
1.345163818,5
1.361903942,4
1.365276883,0
1.382267308,8
1.382267308,7
1.396011759,3
1.40293515,5
1.474085911,1
1.474085911,0
1.492430429,5
1.514745444,3
1.537394116,6
1.541201683,4
1.564245932,0
1.568120001,7
1.611373265,5
1.635466729,4
1.659920442,6
1.659920442,7
1.672284071,0
1.697288282,1
1.714165115,7
1.801100106,1
1.850779631,6
1.878452731,8
1.925497107,6
1.935046431,7
1.944643115,5
1.993345178,6
2.023149936,1
2.028160543,5
2.03318356,2
2.038219017,8
2.104826141,1
2.189799681,8
2.195223019,4
2.195223019,9
2.195223019,5
2.228046281,3
2.289502211,6
2.323735148,9
2.323735148,5
2.329490196,4
2.329490196,7
2.335259497,10
2.335259497,8
2.447631795,6
2.508930815,10
2.552751295,7
2.597337136,8
2.597337136,12
2.655807937,5
2.756198956,9
2.804338172,4
2.839237244,5
2.895981365,0
2.946561992,1
2.968508949,7
2.975860867,3
3.020356328,9
3.173535649,7
3.293497063,6
3.309830857,7
3.318028105,2
3.409548872,5
3.417993086,10
3.564787112,6
3.573615795,10
3.591338811,3
3.717885566,6
3.801581958,3
3.810997096,9
3.820435552,5
3.85842371,4
3.877559204,6
3.984513449,4
4.004274274,7
4.044090416,5
4.165930076,6
4.238691372,4
4.249189071,1
4.249189071,8
4.249189071,7
4.366393937,13
4.509083677,9
4.520251039,6
4.520251039,5
4.531446059,8
4.644932574,8
4.726060032,6
4.726060032,5
5.027542293,7
5.090108414,13
5.179011223,9
5.204696049,6
5.269466791,8
5.591764991,4
5.619496831,6
5.717645832,7
5.746001966,6
5.803136821,8
5.963204039,5
6.09744665,9
6.127686372,7
6.250152424,5
6.327933528,9
6.422549619,3
6.567132938,5
6.714971092,7
6.934410173,5
7.268092835,8
7.413350699,7
7.468567757,6
7.468567757,8
7.487064687,10
7.712633684,6
8.063793245,5
8.327310594,9
8.347934318,4
8.728019392,10
8.728019392,0
9.013243041,2
9.423619911,6
9.564523109,9
9.901544877,5
10,0
10.17465799,6
10.22511826,7
10.32679081,4
10.48119833,5
10.50715645,8
10.85052067,7
11.14980926,8
11.31652267,9
11.4857288,10
11.51417478,7
11.97901136,8
12.37047443,6
12.43182465,7
12.61770692,8
12.9657396,6
12.99785103,9
13.38944805,7
13.79284304,4
14.27885664,4
14.27885664,5
14.27885664,7
14.70904758,9
14.92897919,7
16.35979024,6
17.44650703,6
18.37671791,6
19.35652567,9
20.23783669,8
20.95095029,7
21.21167802,8
21.47565042,5
22.17745493,7
22.28744196,5
23.30219887,3
24.72743923,7
25.09716714,8
26.56639844,4
27.0973463,5
27.29917619,6
27.63890551,4
30.06392502,6
31.98174664,6
32.06095381,7
36.82434205,9
39.75914664,6
43.6776167,8
44.22117037,7
44.88237109,5
47.04210331,6
50.79123699,6
51.55067422,9
52.45104792,8
53.36714736,6
57.33601799,8
59.20970634,5
62.83116987,6
64.88443473,5
69.02350744,7
72.16617771,5
